Timestamp,program,gender,AGE,HEIGHT,WEIGHT,SALARY_OLD,SALARY_GRAD,DESIRE_WORK_ORG,PARENTS,EXPENSES,TRANSPORT,COST_TRANSPORTATION,COST_ENTERTAINMENT,HAND,CELL_PHONE,SMOKE,foot_size,alcohol,tattoo,sleep,social,homework,work,travel,tuition,coffee,BMI
2019/02/04 11:26:35 am GMT-8,HRMG,female,22.0,177.8,110,1400,4000,3. NON-PROFIT OR GOVERNMENT AGENCY,False,700,1. WALK,0,100,0. RIGHT-HANDED,68,False,11.12,0,True,8,10,10,0,True,False,0,34.8
2019/02/04 11:27:45 am GMT-8,HRMG,female,24.0,175,63,2000,3750,2. SMALL COMPANY,True,300,3. DRIVE,600,150,0. RIGHT-HANDED,60,False,9.5,0,True,8,7,20,0,True,True,2,20.57
2019/02/04 11:27:46 am GMT-8,HRMG,male,24.0,182.88,100,2000,3500,2. SMALL COMPANY,True,200,3. DRIVE,100,150,1. LEFT-HANDED,82,False,10.5,1,False,6,20,20,8,True,False,0,29.9
2019/02/04 11:29:06 am GMT-8,HRMG,female,34.0,5,61.3,2500,3500,1. LARGE CORPORATION,True,300,3. DRIVE,500,400,0. RIGHT-HANDED,70,False,7,0,True,7,14,20,0,True,False,1,24520.0
2019/02/04 11:29:12 am GMT-8,HRMG,female,24.0,160,54,0,3800,2. SMALL COMPANY,True,500,3. DRIVE,300,100,0. RIGHT-HANDED,90,False,8,0,False,6,6,11,0,True,True,1,21.09
2019/02/04 11:29:30 am GMT-8,HRMG,female,24.0,164,65,2500,5000,2. SMALL COMPANY,True,500,2. PUBLIC TRANSPORT,40,150,0. RIGHT-HANDED,55,False,9.25,0,False,7,20,25,0,True,True,0,24.17
2019/02/04 11:29:38 am GMT-8,HRMG,female,27.0,153,55,2300,3000,2. SMALL COMPANY,False,400,3. DRIVE,600,100,0. RIGHT-HANDED,120,False,6,0,True,7,8,25,12,True,True,1,23.5
2019/02/04 11:34:05 am GMT-8,HRMG,male,40.0,185,90,2000,4000,1. LARGE CORPORATION,False,3000,2. PUBLIC TRANSPORT,50,200,0. RIGHT-HANDED,80,False,13,0,True,7,3,14,0,True,False,3,26.3
2019/02/04 11:35:08 am GMT-8,HRMG,male,25.0,165,70.3,1300,1600,1. LARGE CORPORATION,True,300,3. DRIVE,50,100,0. RIGHT-HANDED,45,False,8.5,0,False,7,4,12,3.5,True,True,0.25,25.82
2019/02/04 11:36:01 am GMT-8,HRMG,female,25.0,163,52,38000,43000,1. LARGE CORPORATION,True,500,3. DRIVE,20,150,0. RIGHT-HANDED,45,False,9.5,0,False,6,20,20,8,True,False,2,19.57
2019/02/04 11:39:16 am GMT-8,HRMG,female,38.0,1.62,60,3000,3500,3. NON-PROFIT OR GOVERNMENT AGENCY,False,,2. PUBLIC TRANSPORT,41,,0. RIGHT-HANDED,56,True,9,0,False,5,14,,0,True,False,0,228623.69
2019/02/04 11:42:54 am GMT-8,HRMG,female,22.0,155.45,50,1600,2500,1. LARGE CORPORATION,False,500,2. PUBLIC TRANSPORT,0,30,0. RIGHT-HANDED,95,True,9.5,0,True,10,5,40,0,False,False,3,20.69
2019/02/04 11:44:47 am GMT-8,HRMG,female,24.0,165,58,0,3000,1. LARGE CORPORATION,True,1000,3. DRIVE,150,60,0. RIGHT-HANDED,0,False,14,0,False,7,25,40,8,True,False,1,21.3
2019/02/04 11:46:15 am GMT-8,HRMG,male,23.0,179,86,2500,3200,2. SMALL COMPANY,True,400,3. DRIVE,340,250,0. RIGHT-HANDED,60,False,10.25,5,False,7,2,24,8,False,True,3,26.84
2019/02/04 11:49:00 am GMT-8,HRMG,female,22.0,158,53,900,4000,4. OTHER,True,350,3. DRIVE,200,100,0. RIGHT-HANDED,0,False,9.25,3,False,6,14,30,6,False,False,1,21.23
2019/02/04 11:49:12 am GMT-8,HRMG,female,25.0,150,50,3500,4000,1. LARGE CORPORATION,True,500,2. PUBLIC TRANSPORT,100,140,0. RIGHT-HANDED,53.76,True,9,3,True,5,5,30,0,True,True,0,22.22
2019/02/04 2:31:07 pm GMT-8,HRMG,male,25.0,178,75,4,4,1. LARGE CORPORATION,False,1,1. WALK,0,200,0. RIGHT-HANDED,0,False,10,3,False,6,13,,0,True,True,4,23.67
2019/02/04 2:38:05 pm GMT-8,HRMG,female,30.0,165,99,3000.00,5000.00,2. SMALL COMPANY,False,800.00,3. DRIVE,200.00,200.00,0. RIGHT-HANDED,120.00,False,10.2,2,True,6,15,40,12,True,True,2,36.36
2019/02/04 2:40:15 pm GMT-8,HRMG,female,25.0,170,114,2,4,2. SMALL COMPANY,False,1,3. DRIVE,200,400,0. RIGHT-HANDED,120,True,9,24,True,7.5,14,24,8,True,False,1,39.45
2019/02/04 2:41:51 pm GMT-8,HRMG,male,32.0,176,170,0,3000,1. LARGE CORPORATION,True,800,2. PUBLIC TRANSPORT,0,10,0. RIGHT-HANDED,60,False,11,1,False,5,3,5,14,True,False,2,54.88
2019/02/04 2:41:57 pm GMT-8,HRMG,female,24.0,1.60,108,2800,4000,1. LARGE CORPORATION,False,1800,2. PUBLIC TRANSPORT,40,100,0. RIGHT-HANDED,70,False,6.5,0,False,6.5,12,25,3,True,False,1,421875.0
2019/02/04 2:44:01 pm GMT-8,HRMG,female,22.0,170.18,506,0,0,1. LARGE CORPORATION,True,600,3. DRIVE,200,10,0. RIGHT-HANDED,30,False,9.875,1,True,6,10,8,0,False,False,5,174.72
2019/02/04 2:44:50 pm GMT-8,HRMG,female,22.0,174,51,800,4000,1. LARGE CORPORATION,True,300,2. PUBLIC TRANSPORT,0,200,0. RIGHT-HANDED,125,True,10,3,False,8,14,20,12,True,False,1,16.85
2019/02/04 2:45:51 pm GMT-8,HRMG,female,23.0,163,49,1700,3000,3. NON-PROFIT OR GOVERNMENT AGENCY,True,200,3. DRIVE,120,100,0. RIGHT-HANDED,65,False,9,0,True,6,2,10,4,True,False,1,18.44
2019/02/04 2:47:12 pm GMT-8,HRMG,female,24.0,160,66,1600,3750,2. SMALL COMPANY,True,400,3. DRIVE,440,100,0. RIGHT-HANDED,100,False,9.5,0,True,6.5,3,12,0,True,False,2,25.78
2019/02/04 2:47:32 pm GMT-8,HRMG,female,23.0,157,66,2000,3750,1. LARGE CORPORATION,True,400,4. CARPOOL,0,50,0. RIGHT-HANDED,55,False,9.5,0,True,6.5,31.5,30,0,True,True,1,26.78
2019/02/04 2:49:25 pm GMT-8,HRMG,male,29.0,170,81,2400,4000,2. SMALL COMPANY,False,1000,2. PUBLIC TRANSPORT,40,100,0. RIGHT-HANDED,95,False,10.56,4,False,7,1.5,40,10,True,True,1,28.03
2019/02/04 2:49:29 pm GMT-8,HRMG,female,35.0,157,64,3900,4500,3. NON-PROFIT OR GOVERNMENT AGENCY,False,300,3. DRIVE,60,80,0. RIGHT-HANDED,50,True,9,3,False,7,1,36,7,True,False,0,25.96
2019/02/04 2:58:02 pm GMT-8,HRMG,male,26.0,170,155,1,40,2. SMALL COMPANY,False,900,1. WALK,0,50,0. RIGHT-HANDED,68,False,7,2,False,6,20,24,0,True,True,1,53.63
2019/02/05 6:58:22 pm GMT-8,BMGT,female,21.0,1.68,58,0,4000,1. LARGE CORPORATION,True,2000,3. DRIVE,800,1000,1. LEFT-HANDED,65,False,5,,False,8,40,8,8,True,False,,205498.87
2019/02/05 7:11:28 pm GMT-8,BMGT,female,24.0,161,52.1,0,4000,1. LARGE CORPORATION,False,1000,3. DRIVE,300,500,0. RIGHT-HANDED,60,False,9.06,0,False,8,14,7,20,True,True,0,20.1
2019/02/05 7:22:05 pm GMT-8,BMGT,,22.0,165,109,0,2500,1. LARGE CORPORATION,False,1000,2. PUBLIC TRANSPORT,0,30,0. RIGHT-HANDED,50,True,9.25,0,True,9,20,30,0,True,False,3,40.04
2019/02/06 3:29:26 pm GMT-8,BMGT,female,23.0,168,53,0,0,2. SMALL COMPANY,False,1000,2. PUBLIC TRANSPORT,50,300,0. RIGHT-HANDED,80,False,7,0,False,8,20,8,0,True,False,0,18.78
2019/02/06 8:15:54 pm GMT-8,BMGT,male,21.0,181,70,2100,6666,1. LARGE CORPORATION,False,2100,2. PUBLIC TRANSPORT,30,30,0. RIGHT-HANDED,50,False,,1,False,8,2,40,20,True,False,1,21.37
2019/02/06 10:23:29 pm GMT-8,BMGT,male,23.0,180,88,0,3000,2. SMALL COMPANY,False,1500,2. PUBLIC TRANSPORT,0,200,1. LEFT-HANDED,70,False,10,0,True,7,40,25,0,False,True,0,27.16
2019/02/08 4:51:12 am GMT-8,BMGT,female,35.0,160,50,3000,3000,3. NON-PROFIT OR GOVERNMENT AGENCY,False,1500,2. PUBLIC TRANSPORT,130,200,0. RIGHT-HANDED,60,False,,,False,7,1,10,20,True,False,2,19.53
2019/02/08 8:17:24 am GMT-8,BMGT,male,21.0,183,85,4400,6500,2. SMALL COMPANY,True,500,3. DRIVE,500,500,0. RIGHT-HANDED,120,False,12,10,True,7,1,30,30,True,True,2,25.38
2019/02/08 8:23:35 am GMT-8,BMGT,male,30.0,178,75,3500,4500,1. LARGE CORPORATION,False,2000,3. DRIVE,250,80,0. RIGHT-HANDED,77,False,10,3,False,7,1,15,0,True,True,2,23.67
2019/02/08 8:25:02 am GMT-8,BMGT,,23.0,195,110,5200,6000,4. OTHER,True,400,3. DRIVE,100,50,0. RIGHT-HANDED,85,False,12.2,0,True,5,2,20,8,False,False,0.5,28.93
2019/02/08 8:36:24 am GMT-8,BMGT,male,26.0,175,67,0,70000,4. OTHER,True,200,3. DRIVE,100,20,0. RIGHT-HANDED,74,False,,0,False,7,1,35,0,True,False,1,21.88
2019/02/08 8:37:16 am GMT-8,BMGT,male,23.0,71,111,3,,1. LARGE CORPORATION,True,400,3. DRIVE,300,200,0. RIGHT-HANDED,50,True,11,10,False,4,5,25,0,True,False,2,220.19
2019/02/08 8:45:15 am GMT-8,BMGT,female,20.0,165,54,2500,4,1. LARGE CORPORATION,True,400,2. PUBLIC TRANSPORT,40,150,0. RIGHT-HANDED,50,False,,0,False,5,35,15,16,True,True,1,19.83
2019/02/08 9:14:58 am GMT-8,BMGT,male,20.0,180,75,3800,5000,1. LARGE CORPORATION,True,350,3. DRIVE,120,350,0. RIGHT-HANDED,105,False,,0,False,5,6,28,24,True,False,0.5,23.15
2019/02/08 10:10:53 am GMT-8,BMGT,female,20.0,154,120,0,50,1. LARGE CORPORATION,True,50,2. PUBLIC TRANSPORT,50,20,0. RIGHT-HANDED,50,False,9,0,False,7,15,10,0,True,False,1,50.6
2019/02/08 10:18:10 am GMT-8,BMGT,male,19.0,175,63,0,50,1. LARGE CORPORATION,True,100,2. PUBLIC TRANSPORT,50,50,0. RIGHT-HANDED,100,False,10,0,False,8,10,5,0,True,False,0,20.57
2019/02/08 10:30:28 am GMT-8,BMGT,female,23.0,175,70,3300,4000,1. LARGE CORPORATION,True,1500,3. DRIVE,50,20,0. RIGHT-HANDED,40,False,10.4,0,False,7,5,15,0,True,False,0,22.86
2019/02/08 10:33:40 am GMT-8,BMGT,male,22.0,178,77,300,5000,1. LARGE CORPORATION,False,2000,2. PUBLIC TRANSPORT,50,50,2. AMBIDEXTROUS,50,False,25,0,False,8,30,4,8,True,False,1,24.3
2019/02/08 10:34:23 am GMT-8,BMGT,male,29.0,185,98,0,60,2. SMALL COMPANY,False,2200,3. DRIVE,150,130,0. RIGHT-HANDED,70,False,,0,False,6,6,5,10,True,True,1,28.63
2019/02/08 10:37:20 am GMT-8,BMGT,male,23.0,176,83,2500,5000,3. NON-PROFIT OR GOVERNMENT AGENCY,False,2000,3. DRIVE,1000,200,2. AMBIDEXTROUS,120,True,10.5,0,False,5,12,30,8,True,False,2,26.79
2019/02/08 10:38:29 am GMT-8,BMGT,female,30.0,158,56,2600,3200,2. SMALL COMPANY,True,2000,2. PUBLIC TRANSPORT,40,600,0. RIGHT-HANDED,,False,14,4,True,6.5,10,14,3,True,True,0,22.43
2019/02/08 10:40:15 am GMT-8,BMGT,,19.0,175,75,2500,6000,1. LARGE CORPORATION,True,500,2. PUBLIC TRANSPORT,40,100,0. RIGHT-HANDED,100,False,10.6,2,True,5,3,1,60,True,True,,24.49
2019/02/08 10:40:39 am GMT-8,BMGT,female,24.0,165,52,3750,5000,1. LARGE CORPORATION,True,200,3. DRIVE,680,210,0. RIGHT-HANDED,85,False,10.25,0,False,8,3,25,0,True,False,0,19.1
2019/02/08 10:42:24 am GMT-8,BMGT,male,46.0,1.78,90,10,5,1. LARGE CORPORATION,False,3,2. PUBLIC TRANSPORT,0,500,0. RIGHT-HANDED,320,True,10.2,3,False,7,0,10,0,True,True,3,284055.04
2019/02/08 10:42:25 am GMT-8,BMGT,female,28.0,158,57,2800,4000,1. LARGE CORPORATION,True,500,2. PUBLIC TRANSPORT,0,100,0. RIGHT-HANDED,75,False,9,1,False,7,4,25,0,True,True,1,22.83
2019/02/08 10:45:55 am GMT-8,BMGT,male,20.0,182,80,0,3750,2. SMALL COMPANY,True,300,3. DRIVE,100,100,0. RIGHT-HANDED,50,False,10.35,8,False,6,12,15,0,True,False,2,24.15
2019/02/08 10:48:56 am GMT-8,BMGT,male,24.0,180,81,2560,3520,2. SMALL COMPANY,False,900,2. PUBLIC TRANSPORT,80,400,0. RIGHT-HANDED,80,False,10.5,15,True,5.5,,12,10,True,False,,25.0
2019/02/08 10:50:48 am GMT-8,BMGT,female,23.0,170,69,2500,4500,4. OTHER,True,1500,3. DRIVE,200,100,2. AMBIDEXTROUS,90,False,9.6875,1,False,6,18,84,6,True,True,2,23.88
2019/02/08 10:51:40 am GMT-8,BMGT,male,26.0,190,77,3000,6200,1. LARGE CORPORATION,True,450,3. DRIVE,160,40,0. RIGHT-HANDED,60,True,11.25,8,False,6,2,7,6.5,True,True,4,21.33
2019/02/08 10:52:34 am GMT-8,BMGT,female,19.0,170.6,70.4,3800,4750,1. LARGE CORPORATION,True,150,3. DRIVE,380,,0. RIGHT-HANDED,0,False,9.8,3,True,8,3,30,16,True,True,1,24.19
2019/02/08 10:54:38 am GMT-8,BMGT,male,19.0,188,69,2000,3500,2. SMALL COMPANY,True,0,3. DRIVE,150,150,0. RIGHT-HANDED,55,False,10.6,4,False,7,10,20,5,True,False,1,19.52
2019/02/08 12:16:58 pm GMT-8,BMGT,female,19.0,168,62.3,0,3200,1. LARGE CORPORATION,False,1100,1. WALK,0,120,0. RIGHT-HANDED,45,True,7.5,3,True,6,,,0,True,True,0,22.07
2019/02/08 12:39:22 pm GMT-8,BMGT,female,26.0,165,48,0,3000,1. LARGE CORPORATION,False,800,2. PUBLIC TRANSPORT,100,500,0. RIGHT-HANDED,48,True,,,True,8,22,60,0,True,False,0,17.63
2019/02/11 11:36:09 am GMT-8,HRMG,female,27.0,175,74,3600,4500,4. OTHER,False,,5. OTHER,10,10,0. RIGHT-HANDED,85,False,,6,False,8,3,6,0,True,False,2,24.16
2019/02/14 8:22:04 pm GMT-8,BMGT,female,24.0,162,99,0,5000,1. LARGE CORPORATION,False,12000,3. DRIVE,500,3000,0. RIGHT-HANDED,140,True,40,0,False,7,3,5,0,True,False,0,37.72
2019/02/22 9:07:22 am GMT-8,BMGT,male,20.0,180,70,2500,4500,3. NON-PROFIT OR GOVERNMENT AGENCY,True,0,3. DRIVE,100,100,0. RIGHT-HANDED,80,False,10.5,1,False,7,4,12,0,True,False,1,21.6
2019/09/09 5:01:07 pm GMT-7,BABI,female,33.0,167,70,4000,4000,1. LARGE CORPORATION,False,2500,2. PUBLIC TRANSPORT,70,250,0. RIGHT-HANDED,120,True,9.68,0,False,7,1,0,40,False,True,0,25.1
2019/09/09 7:14:35 pm GMT-7,BABI,female,26.0,160,50,5200,,1. LARGE CORPORATION,True,1000,2. PUBLIC TRANSPORT,100,500,0. RIGHT-HANDED,100,False,,20,False,7,15,2,40,True,False,0,19.53
2019/09/09 7:14:53 pm GMT-7,BABI,male,29.0,180,65,4500,7000,1. LARGE CORPORATION,True,1000,3. DRIVE,1000,500,0. RIGHT-HANDED,50,False,10,0,False,7,5,10,40,True,True,3,20.06
2019/09/09 7:15:34 pm GMT-7,BABI,male,22.0,175,59,2600,3000,1. LARGE CORPORATION,True,150,3. DRIVE,10,300,0. RIGHT-HANDED,40,False,,3,False,8,21,2,40,True,False,3,19.27
2019/09/09 7:15:42 pm GMT-7,BABI,female,27.0,166,70,1600,2300,3. NON-PROFIT OR GOVERNMENT AGENCY,True,200,2. PUBLIC TRANSPORT,60,70,0. RIGHT-HANDED,45,False,11,0,False,7,10,0,40,True,False,3,25.4
2019/09/09 7:15:54 pm GMT-7,BABI,male,29.0,171,64,1600,2000,3. NON-PROFIT OR GOVERNMENT AGENCY,False,1800,2. PUBLIC TRANSPORT,40,100,1. LEFT-HANDED,72,False,,3,True,7,5,,50,True,False,3,21.89
2019/09/09 7:15:58 pm GMT-7,BABI,female,25.0,165,60,5000,5500,2. SMALL COMPANY,False,2000,1. WALK,0,100,0. RIGHT-HANDED,50,False,9,2,True,8,5,0,40,True,False,4,22.04
2019/09/09 7:16:01 pm GMT-7,BABI,male,27.0,180,70,0,5000,2. SMALL COMPANY,False,,1. WALK,0,1000,0. RIGHT-HANDED,90,False,,10,False,7,1,10,40,True,True,0,21.6
2019/09/09 7:16:04 pm GMT-7,BABI,male,24.0,175,108,52000,4500,3. NON-PROFIT OR GOVERNMENT AGENCY,True,400,2. PUBLIC TRANSPORT,30,50,0. RIGHT-HANDED,55,False,10,0,False,5,50,0,35,True,True,100,35.27
2019/09/09 7:16:10 pm GMT-7,BABI,male,34.0,191,113,8000,8000,1. LARGE CORPORATION,True,600,3. DRIVE,50,200,0. RIGHT-HANDED,70,False,34.5,0,False,8,1,5,37.5,True,True,1,30.98
2019/09/09 7:16:23 pm GMT-7,BABI,female,26.0,171,60,5000,6000,1. LARGE CORPORATION,False,500,2. PUBLIC TRANSPORT,140,500,0. RIGHT-HANDED,70,False,9.6,10,False,7,5,5,5,True,True,1,20.52
2019/09/09 7:17:03 pm GMT-7,BABI,male,28.0,178,86,4000,5000,2. SMALL COMPANY,False,1200,2. PUBLIC TRANSPORT,40,300,0. RIGHT-HANDED,50,False,13,5,False,7,7,10,40,True,True,2,27.14
2019/09/09 7:17:05 pm GMT-7,BABI,male,40.0,150,70,4000,8000,2. SMALL COMPANY,False,1800,2. PUBLIC TRANSPORT,100,10,2. AMBIDEXTROUS,40,True,10,2,True,8,2,0,30,True,True,1,31.11
2019/09/09 7:17:22 pm GMT-7,BABI,male,32.0,180,86,2800,5500,2. SMALL COMPANY,False,775,2. PUBLIC TRANSPORT,,30,0. RIGHT-HANDED,65,False,11,16,True,7,2,0,14,False,True,1,26.54
2019/09/09 7:17:41 pm GMT-7,BABI,male,24.0,168,72,4400,6000,2. SMALL COMPANY,False,1800,2. PUBLIC TRANSPORT,140,600,0. RIGHT-HANDED,64,False,10.43,12,False,8,14,14,40,True,False,1.5,25.51
2019/09/09 7:17:48 pm GMT-7,BABI,female,35.0,164,64,60000,4000,3. NON-PROFIT OR GOVERNMENT AGENCY,False,4000,3. DRIVE,65,500,0. RIGHT-HANDED,72,False,9.6,,False,7,2,0,35,True,True,.5,23.8
2019/09/09 7:17:55 pm GMT-7,BABI,female,26.0,164,64,3300,4000,2. SMALL COMPANY,False,1600,2. PUBLIC TRANSPORT,200,400,0. RIGHT-HANDED,60,False,9,10,True,6,8,4,37.5,False,True,2,23.8
2019/09/09 7:18:59 pm GMT-7,BABI,male,42.0,178,68,8000,10000,3. NON-PROFIT OR GOVERNMENT AGENCY,False,7000,3. DRIVE,50,200,0. RIGHT-HANDED,50,False,9,0,False,7,2,2,40,True,True,2,21.46
2019/09/09 9:01:44 pm GMT-7,BABI,female,27.0,155,46,3038,5000,1. LARGE CORPORATION,False,2500,3. DRIVE,200,200,0. RIGHT-HANDED,75,False,8.75,1,False,8,10,8,40,True,False,1,19.15
